pid,type
1699,House
1700,House
1701,Condo
1702,House
1703,Condo
1704,Unknown
1705,House
1706,House
1707,House
1708,Unknown
1709,Condo
1710,House
1711,House
1712,Condo
1713,House
1714,Condo
1715,House
1716,House
1717,House
1718,House
1719,House
1720,House
1721,House
1722,House
1723,Condo
1724,Townhome
1725,House
1726,House
1727,Condo
1728,House
1729,House
1730,House
1731,House
1732,Condo
1733,Condo
1734,Condo
1735,Townhome
1736,House
1737,House
1738,House
1739,House
1740,House
1741,House
1742,House
1743,House
1744,Condo
1745,House
1746,House
1747,House
1748,House
1749,House
1750,House
1751,House
1752,Condo
1753,House
1754,House
1755,House
1756,Unknown
1757,House
1758,Condo
1759,Apartment
1760,Condo
1761,Townhome
1762,House
1763,House
1764,House
1765,Apartment
1766,Apartment
1767,Apartment
1768,Apartment
1769,Apartment
1770,Apartment
1771,Apartment
1772,Apartment
1773,Apartment
1774,Apartment
1775,Apartment
1776,Apartment
1777,Apartment
1778,Apartment
1779,Apartment
1780,Apartment
1781,Apartment
1782,Apartment
1783,Apartment
1784,Apartment
1785,Apartment
1786,Apartment
1787,Apartment
1788,Apartment
1789,Apartment
1790,Apartment
1791,Apartment
1792,Apartment
1793,Apartment
1794,Apartment
1795,Apartment
1796,Apartment
1797,Apartment
1798,Apartment
1799,Apartment
1800,Apartment
1801,Apartment
1802,Apartment
1803,Apartment
1804,Apartment
1805,Apartment
1806,Apartment
1807,Apartment
1808,Apartment
1809,Apartment
1810,Apartment
1811,Apartment
1812,Apartment
1813,Condo
1814,Apartment
1815,Apartment
1816,Apartment
1817,Condo
1818,Condo
1819,Apartment
1820,Apartment
1821,Apartment
1822,Apartment
1823,Apartment
1824,Apartment
1825,Apartment
1826,Apartment
1827,Apartment
1828,Apartment
1829,Apartment
1830,Apartment
1831,Apartment
1832,Unknown
1833,House
1834,Townhome
1835,House
1836,Townhome
1837,Condo
1838,Condo
1839,House
1840,Townhome
1841,Unknown
1842,Condo
1843,Condo
1844,Townhome
1845,House
1846,House
1847,House
1848,Townhome
1849,Townhome
1850,Townhome
1851,Condo
1852,Townhome
1853,House
1854,House
1855,Unknown
1856,House
1857,Unknown
1858,Townhome
1859,House
1860,House
1861,House
1862,House
1863,Condo
1864,House
1865,Townhome
1866,Condo
1867,House
1868,Townhome
1869,Townhome
1870,House
1871,House
1872,Townhome
1873,House
1874,Unknown
1875,Townhome
1876,Apartment
1877,House
1878,Apartment
1879,Apartment
1880,House
1881,House
1882,House
1883,House
1884,House
1885,House
1886,House
1887,House
1888,House
1889,House
1890,House
1891,House
1892,Apartment
1893,House
1894,Condo
1895,Unknown
1896,Apartment
1897,Apartment
1898,Apartment
1899,Apartment
1900,Apartment
1901,Apartment
1902,Apartment
1903,Apartment
1904,Apartment
1905,Apartment
1906,House
1907,Townhome
1908,Townhome
1909,House
1910,Townhome
1911,House
1912,House
1913,House
1914,House
1915,House
1916,Townhome
1917,House
1918,House
1919,House
1920,Townhome
1921,Unknown
1922,House
1923,House
1924,Apartment
1925,Apartment
1926,Apartment
1927,Unknown
1928,Condo
1929,House
1930,Condo
1931,Townhome
1932,House
1933,Townhome
1934,House
1935,Townhome
1936,Condo
1937,Condo
1938,Townhome
1939,Townhome
1940,Townhome
1941,Condo
1942,Townhome
1943,House
1944,House
1945,House
1946,Townhome
1947,Townhome
1948,Condo
1949,House
1950,Townhome
1951,House
1952,House
1953,Townhome
1954,Townhome
1955,House
1956,House
1957,House
1958,House
1959,House
1960,Townhome
1961,House
1962,Apartment
1963,Apartment
1964,Apartment
1965,Apartment
1966,Townhome
1967,Townhome
1968,House
1969,House
1970,Townhome
1971,Townhome
1972,Townhome
1973,House
1974,House
1975,Condo
1976,Condo
1977,Condo
1978,Condo
1979,Townhome
1980,Condo
1981,Apartment
1982,Apartment
1983,Apartment
1984,Apartment
1985,Apartment
1986,Apartment
1987,Condo
1988,House
1989,House
1990,Unknown
1991,House
1992,Townhome
1993,House
1994,House
1995,Apartment
1996,Apartment
1997,Apartment
1998,Apartment
1999,Apartment
2000,Apartment
2001,Apartment
2002,Apartment
2003,House
2004,Unknown
2005,House
2006,Townhome
2007,House
2008,Townhome
2009,House
2010,House
2011,Unknown
2012,House
2013,House
2014,House
2015,House
2016,House
2017,Unknown
2018,House
2019,House
2020,Apartment
2021,Apartment
2022,Apartment
2023,Apartment
2024,Apartment
2025,Apartment
2026,Apartment
2027,Apartment
2028,Apartment
2029,Apartment
2030,Apartment
2031,Apartment
2032,Apartment
2033,Apartment
2034,Apartment
2035,Apartment
2036,Apartment
2037,Apartment
2038,Apartment
2039,Apartment
2040,Apartment
2041,Apartment
2042,Apartment
2043,Apartment
2044,Apartment
2045,House
2046,Townhome
2047,Townhome
2048,Townhome
